review_id,user_id,business_id,stars,date,text,useful,funny,cool
Is7HEeScCyzSpH7OFziHNA,TcftfHJS6IECjmLudxxgnw,2YDtLCjz_glt6-Zv48Hu2w,5,2015-12-15,Came in with my husband for his monthly haircut. This place is awesome! The vibe is so cool with it being a guys place for sure! Thank you for a place that caters to the men we love. My husband has never had a better cut! Eric is a perfectionist and it shows with the precision and time he takes with each client and he is booked weeks in advance. If you have a beard this is definitely your spot!,1,0,0
e9UE531B4PfJndbai2CoTw,JYa6loCU2cnejrjjCKN3DA,R6dsQhkBRq2qwwPnqommKw,2,2017-06-15,I give it two stars because we stayed here two years in a row and the first time was wonderful but the second time was not. The second time was for my mom and aunts birthday who travelled 2500 miles and we rented a cabana at the main pool for the day (which isn't really cheap) and we decorated the cabana and ordered a beautiful cake (from a Phoenix bakery) and when I went to bring the cake in to the cabana I was stopped and told I could not bring in outside food (which I was told all week and knew from the ridiculous bag checks they do upon entering the pool area) because they want to make as much money as possible having people buy their food. Not even snacks for kids were allowed. I had to hide them deep inside the bag and wrap towel's around them to bring in snacks for my ONE year old. Anyways the rented cabana that we spent good money on and a week at their hotel which we also spent good money on and they wouldn't let us bring in a cake for a birthday into a cabana. I asked to speak to the manager and she was rude and wouldn't even hear me out. So frustrating. I had to walk back to the room and leave the cake there. For my family's yearly visit we will be going elsewhere.,1,0,0
AZfsQtxyJXd9k_WuztCK0w,Qd6dZCL3ZvIRlaT5AYEdCw,9Ri_yKX5aaysX4qCI2S3wg,3,2013-05-23,"Its a nice little place. We stayed there for a long weekend. We were looking for a nice and clean hotel close to downtown Montreal. Unfortunately, it wasn't any easy task. Most of the hotels are pricy... This hotel came across our search on trip advisor and had  mostly good reviews. We took our chances and were satisfied. It was close to Old Montreal and all the fun places. The room was a bit small but again clean. They also had breakfast ""in bed"": they would leave a basket with some muffins, yogurt and fruits for you by the door. I thought it was a great idea as I like to have my coffee and breakfast before I go out. Talking about coffee...the only problem we had is  broken coffee maker in the room...but they had coffee ready for you downstairs in the lunch room so it wasnt a big issue. 
All in all, great place for the money you pay, clean and friendly people.",0,0,0
kUzgAAQt0QsIr_2CC6cT2g,a5a31ZZb0ZfqTvH0HUyOFw,v1AE1LLWDOqe8ubOzqKADg,1,2012-11-14,"Food is mediocre.  Everything taste the Same.  I think they are using the same pan for everything...bacon, pancakes, etc.",0,0,0
050jmKZtJ1g0r7XjWhlVLw,gMvTe2Vm4-l79jH3apmbog,SMPbvZLSMMb7KU76YNYMGg,4,2013-10-01,"Got a comp'd corner suite here, so my friends and I decided to make a Vegas trip out of it. I would definitely come back here just to go back to that suite bathroom. I mean, the service was great and dealing with the front desk was much better here compared to many other Vegas hotels... but the suite bathroom was pretty legit.

The suite was a fairly good size and had a separate living room, king size bedroom, one full bathroom + one half bathroom. The full bathroom was huge and included a standing shower, large isolated jacuzzi tub, long sink area, and a technologically advanced toilet (I was too scared to push those buttons..not sure what would have happened to me). 

Talking about technology, the whole suite was pretty much automated. There's a tablet that allows you to control the curtains\/sheers, temperature, lights, and maybe even the toilet (seriously I have no clue what that toilet is capable of). It was awesome to have the curtains set to open at 10am to wake up everyone after a long night of Vegas antics. It's a corner suite, so the whole room is pretty much covered in windows.

Would I come back and stay here again? Well, I did have really good luck at the blackjack tables here, so that's a plus. I don't think I'd stay at a regular room for the price, though. If I got another free corner suite? Ohhhh yeaaaaaa. Maybe I'll even pay for the suite too if I get it at a good rate. If I do, you can bet you'll find me lounging in the jacuzzi, champagne in one hand and that tablet in the other hand messing with the curtains (or maybe even the toilet - I really think it's possible ).",1,2,1
-pPUs5pZPYIHxmzk_sr-3A,SvfcFwdWna_IWdgSFOzUvA,4iKll2kZ8xZghREXmYgM2g,4,2013-12-06,"Had a good time, some lookers and some fugly chicks.  Gotta watch the dances though, some of the girls will try to get you mid way through a song and then stop and ask if you want another dance.  You gotta tell them on the Next song give me a dance.  Take out was def on the menu with several of the girls.",5,3,0
qUNrIUvXOpcehjAGf2mkLA,3U8NLU-_7A6oaWQHB1l6Vw,_nB8HNT2IDRhlAoY9TPYew,1,2015-05-16,"Woefully unremarkable, even for land-locked sushi bars. Will avoid going forward.",0,0,0
G6iP5EqQIsr2ZI8GQ2OQgQ,tzdz5CN4ss0Ipogkp3Eiyw,oQFMJqDwNXbNMRbcmIYRYg,3,2017-07-14,"Good coffee, above average wifi, indifferent staff bordering on rude, atmosphere too dark and noisy to get any work done. So...choose what's more important to you. For me....the place was too unwelcoming and too chatty for another visit.",3,0,0
Ag65rgkrHpZGfGgtJcLoNA,dBMv0WSKWILE69G6NEcivQ,Eo0lN0i316CMDaAvG6EiuQ,3,2013-07-17,"This is a small pool but good enough for my toddler!

I signed her up with some basic swimming class and  I really think they have some great instructors like DJ, she learnt a lot within the 2 weeks, 8 sessions class. I continue to sign her up in another class, the current instructor is equally GREAT too.

After the class, she usually play in the baby pool and easier for parents to keep an eye on their kids. Unlike the Hamilton Aquatic Center which I also signed her up on weekend class, the instructor P doesn't seems to know how to teach...

If you're looking for Toddler\/kids friendly pool cum great instructors, I would recommend Folley Pool.",1,0,0
E0_9JH2IEWty2j6I4s3dnw,tKAM0Qyg-8SeBla-DfUbgA,ly0SNB5mUdqkYW_pj-M9wQ,4,2016-01-31,"Food was delicious and authentic. So if you like Filipino food or want to try something new, this place was great! I recommend the kare kare - contrary to the first review - as it was a very good version of the dish. This oxtail stew is supposed to be in a peanut curry sauce and have a savoury and slightly sweet taste.",0,0,0
